t,rbank
2020-05-25,-0.02%
2020-05-26,0.27%
2020-05-27,0.48%
2020-05-28,1.30%
2020-05-29,-0.66%
2020-06-01,1.42%
2020-06-02,0.57%
2020-06-03,0.10%
2020-06-04,-0.34%
2020-06-05,0.16%
2020-06-08,0.09%
2020-06-09,0.17%
2020-06-10,-0.70%
2020-06-11,-1.23%
2020-06-12,0.12%
2020-06-15,-1.30%
2020-06-16,0.82%
2020-06-17,-0.06%
2020-06-18,-0.38%
2020-06-19,0.13%
2020-06-22,-0.59%
2020-06-23,-0.47%
2020-06-24,0.87%
2020-06-29,-0.21%
2020-06-30,-0.31%
2020-07-01,1.87%
2020-07-02,2.22%
2020-07-03,2.61%
2020-07-06,8.64%
2020-07-07,-0.36%
2020-07-08,0.14%
2020-07-09,-1.27%
2020-07-10,-4.47%
2020-07-13,-0.50%
2020-07-14,-2.00%
2020-07-15,-2.65%
2020-07-16,-0.63%
2020-07-17,0.18%
2020-07-20,2.60%
2020-07-21,-0.93%
2020-07-22,-0.33%
2020-07-23,-1.76%
2020-07-24,-2.53%
2020-07-27,-0.78%
2020-07-28,0.46%
2020-07-29,1.30%
2020-07-30,-1.02%
2020-07-31,0.01%
